Ô Tiêu chuẩn,Tọa độ X,Tọa độ Y,Độ cao
Ô 1,828884,1769893,788
Ô 2,827468,1769326,1117
Ô 3,826642,1769140,1137
Ô 4,827060,1769213,1120
Ô 5,828003,1769601,940
Ô 6,828574,1769684,825
Ô 7,828982,1769719,790
Ô 8,829612,1769829,680
Ô 9,829977,1769921,560
Ô 10,830206,1769504,520
Ô 11,829872,1769997,603
Ô 12,829970,1769912,560
Ô 13,830353,1769659,414
Ô 14,830597,1769592,363
Ô 15,830863,1769414,278
Ô 16,830720,1769587,240
Ô 17,831142,1769954,188
Ô 18,830891,1770039,145
Ô 19,830886,1770255,130
Ô 20,831378,1771206,20
Ô 21,829510,1776388,90
Ô 22,829765,1775891,85
Ô 23,830660,1775615,70
Ô 24,830936,1770955,75
Ô 25,830845,1771018,80
Ô 26,830720,1771018,80
Ô 27,830675,1771089,80
Ô 28,830657,1770938,92
Ô 29,828834,1769845,770
Ô 30,828708,1770003,780
Ô 31,828516,1770146,765
Ô 32,828926,1769763,810
Ô 33,828944,1769538,850
Ô 34,829042,1769399,880
Ô 35,829106,1769176,965
Ô 36,831396,1770685,18
Ô 37,829689,1772549,100
Ô 38,829494,1772391,70
Ô 39,829253,1772075,220
Ô 40,827857,1769652,1080
Ô 41,833691,1774647,34
Ô 42,833711,1774620,34
Ô 43,833734,1774572,30
Ô 44,833696,1774442,30
Ô 45,833596,1774464,34
Ô 46,833581,1774635,34
Ô 47,833504,1774580,34
Ô 48,832070,1775834,35
Ô 49,831968,1775747,35
Ô 50,832286,1775825,35
Ô 51,832265,1775696,35
Ô 52,831596,1775532,54
Ô 53,831531,1775399,50
Ô 54,831509,1775350,50
Ô 55,831494,1775479,50
Ô 56,832215,1775200,50
